ISO3,Country,EGDI,OSI,TII,HCI,Penetration_Pct,Year_Used,p,T_adj_EGDI,Phi_EGDI,T_adj_OSI,Phi_OSI,R_facade,I_egov,Signed_Div
POL,Poland,0.8648,0.8037,0.9603,0.8304,86.414744,2023,0.86414744,0.747314706112,0.11748529388800001,0.694515297528,0.109184702472,1.1572099316755484,0.15660000000000007,-0.15660000000000007
CRI,Costa Rica,0.8009,0.7217,0.8933,0.7877,85.39514799,2023,0.8539514799,0.6839297402519099,0.11697025974809001,0.61629678304383,0.10540321695617001,1.1710267193601007,0.17159999999999997,-0.17159999999999997
ISR,Israel,0.9014,0.8541,0.9763,0.8739,87.03842615,2023,0.8703842615,0.7845643733161,0.11683562668389996,0.74339519774715,0.11070480225284997,1.1489178334596988,0.12219999999999998,-0.12219999999999998
CZE,Czech Republic,0.8239,0.7006,0.9204,0.8508,85.99404818,2023,0.8599404817999999,0.70850496295502,0.11539503704498005,0.60247430154908,0.09812569845092005,1.1628711767433393,0.2198,-0.2198
FRA,France,0.8744,0.844,0.9228,0.8565,86.83635789,2023,0.8683635789,0.75929711339016,0.11510288660983996,0.7328988605916,0.11110113940839995,1.1515913659883692,0.07879999999999998,-0.07879999999999998
GUY,Guyana,0.5443,0.3455,0.6942,0.5933,79.3553009,2023,0.793553009,0.4319309027987,0.11236909720129998,0.2741725646095,0.07132743539049999,1.260155262041228,0.34870000000000007,-0.34870000000000007
HTI,Haiti,0.2117,0.1379,0.2087,0.2883,47.99269867,2023,0.4799269867,0.10160054308439,0.11009945691561,0.06618193146593,0.07171806853406999,2.0836502795478244,0.0708,-0.0708
SOM,Somalia,0.1468,0.2971,0.1432,0.0,26.12010002,2023,0.2612010002,0.03834430682936,0.10845569317064001,0.07760281715941998,0.21949718284057998,3.828469260203086,0.15389999999999998,0.15389999999999998
ITA,Italy,0.8356,0.7624,0.9017,0.8426,87.0278292,2023,0.870278292,0.7272045407951999,0.10839545920480004,0.6635001698208,0.09889983017920004,1.1490577315238837,0.13929999999999998,-0.13929999999999998
IRN,Iran (Islamic Republic of),0.6564,0.3773,0.8987,0.6932,83.71050262,2023,0.8371050262,0.54947573919768,0.10692426080231997,0.31583972638526003,0.061460273614739984,1.1945932334673155,0.5214000000000001,-0.5214000000000001
BIH,Bosnia and Herzegovina,0.6329,0.5003,0.7763,0.6222,83.3771539,2023,0.833771539,0.5276940070331,0.1052059929669,0.4171359009617,0.0831640990383,1.1993693154834348,0.276,-0.276
LTU,Lithuania,0.911,0.8839,0.9631,0.8861,88.50287484,2023,0.8850287484,0.8062611897924,0.1047388102076,0.78227691071076,0.10162308928923999,1.129906798855801,0.07919999999999994,-0.07919999999999994
MDV,Maldives,0.6745,0.622,0.7886,0.613,84.55290222,2023,0.8455290222,0.5703093254739,0.10419067452609998,0.5259190518084,0.09608094819159997,1.182691514713568,0.16659999999999997,-0.16659999999999997
GNQ,Equatorial Guinea,0.2855,0.1932,0.2532,0.4102,63.51950073,2023,0.6351950073,0.18134817458414998,0.10415182541585,0.12271967541036001,0.07048032458964,1.574319679007968,0.05999999999999997,-0.05999999999999997
DJI,Djibouti,0.2911,0.2092,0.384,0.28,64.75869751,2023,0.6475869751000001,0.18851256845161005,0.10258743154838999,0.13547519519092002,0.07372480480907999,1.5441941213310852,0.1748,-0.1748
SVK,Slovakia,0.8021,0.7097,0.8985,0.7982,87.2131343,2023,0.872131343,0.6995365502203,0.10256344977970004,0.6189516141271,0.09074838587290003,1.1466162843777077,0.18879999999999997,-0.18879999999999997
DMA,Dominica,0.5445,0.3798,0.6757,0.5781,81.33650208,2023,0.8133650208000001,0.4428772538256,0.10162274617439997,0.30891603489984004,0.07088396510015998,1.2294602969481423,0.29589999999999994,-0.29589999999999994
